No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
11,お店の開業→イニシャルコストは借入、ランニングコストは貯金,自己資金で開業するのだけは、絶対やめてください。,借金は怖いから、貯金だけでなんとかしたいって思ってません？,コツコツ貯めたお金、内装とか厨房機器に全部つぎ込む計画立ててません？,それ、一番潰れるパターンですわ。,オープンしてすぐ現金ショートして、半年もたずにシャッター閉める…一番悲しいやつです。,「オープンさえすれば、お客さんは来てくれるはず」って、どこかで思てません？,気持ちはわかります。僕も最初は「借金だけはアカン」って思てましたから。,でもそれって、ただただ「守り」を捨てて、裸で戦場に出るようなもんなんですよ。,その覚悟はすごい。でも、守りのない勝負はただの博打です。,今日は、夢で終わらせへんための、一番大事な「お金の守り方」の話です。,初期投資は「攻め」のお金、運転資金は「守り」のお金。これをゴチャ混ぜにしたらアカン。,ええ武器だけ揃えて、水も食料も持たずに旅に出るようなもん。そらすぐ力尽きますわ。,答えはシンプルです。初期投資は借りる、運転資金は貯金で守る。,家賃、人件費、仕入れ、自分の生活費。最低でも半年分の運転資金は、絶対に手元に残してください。,その現金を確保した上で、残った額があなたの使える初期投資の上限。順番が逆なんです。,オープン初日、お金の心配せんと「いらっしゃいませ！」って心から言えるの、最高でしょ？,1年目で消えるお店のほとんどは、現金を残さへんかっただけなんです。,夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;価値を人に宿すと、集客が強くなる;ゾーニング;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？
12,BGMの大きさ＝お店のガヤガヤさ,まさかまだBGMの音量のルール、知らないんですか？お店がガヤガヤする原因、それかもしれませんよ。,「なんかうちの店、思ったよりうるさいな…」って感じたこと、一回はありますよね。,とりあえず流行りの曲を、なんとなくの音量で一日中流してません？,それ、お店のコンセプトを自ら壊しにいってます。,そのままだと、静かに過ごしたい客はどんどん離れて、ガヤガヤした雰囲気だけが残りますよ。,「BGMなんてなんでもええやろ」って、心のどこかで後回しにしてません？,分かりますよ。忙しいし、BGMの選曲とか音量まで毎日気にしてられへんってなりますよね。,ほんまはもっと理想の雰囲気があるのに、どうコントロールしたらええか分からんのちゃいますか？,でもBGMって、タダでできる最高の空間演出なんです。これを使わんのはもったいないで。,今日は、BGMの音量一つで、お店の客層と居心地をコントロールする話をします。,ガヤガヤした居酒屋と、しっとりしたバー。雰囲気の違いって、実はBGMの音量が8割なんですわ。,BGMってお店の心拍数みたいなもん。速くて大きいと客も興奮するし、ゆっくりで小さいと自然と落ち着くんですよ。,結論、お客さんの声の大きさは、BGMの音量に比例します。,静かな店にしたいなら会話がギリ聞こえるくらい。賑やかにしたいなら、少し声を張らないと聞こえないくらいが目安です。,まずはお店のピークタイムに、一番奥の客席でBGMの音量を調整してみてください。隣の席の声、どれくらい聞こえますか？,「なんかこの店、居心地ええな」って思われる空間、BGMのツマミ一つでちゃんと作れるんです。,あなたのお店のBGM、目指してる雰囲気とちゃんと釣り合ってますか？,集客に即効性を求めてはいけない;求人が来ない理由とブランドイメージの関連性;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;チェーン店に勝つ方法;マクドナルドから真似すべき戦法
13,退店したらすぐに方付け→忘れ物のチェック,お客様のお見送り後、一番大事な仕事、忘れてませんか？,他の作業もあるし、「後でまとめてやろ」って思いますよね。,気づいたら次のオーダーに追われて、そのテーブルのこと、すっかり忘れてたり。,でも、その「後で」が一番アカンねん。,お客様が帰って30分後、「スマホ忘れたみたいで…」って電話。最高の思い出が、一気に気まずい空気に変わりますよ。,「忘れ物なんて、そんなにないし大丈夫」って、心のどこかで思ってません？,忙しい中で全部完璧にやるなんて無理や、って気持ちもめっちゃ分かります。,ほんまは最後まで気持ちよくお帰りいただきたい。そう思ってるはずやのに。,その気持ちがあるんやったら、気合いじゃなくて仕組みで解決せなあかんのです。,このリールでは、お見送り後の“たった一つの行動”が、お店のファンを増やす理由を話します。,忘れ物を後日気まずく渡す店と、店を出る前に「ありましたよ！」って笑顔で渡せる店。どっちがまた来たいですか？,最高のコース料理食べても、最後のデザートで髪の毛入ってたら台無しでしょ？忘れ物って、それくらい後味悪いんです。,答えは一つ。お客様の姿が見えなくなったら、即、そのテーブルを片付けて忘れ物チェックです。,見るべきは3つ。椅子の上、テーブルの下、そして壁際の荷物置き。特にスマホと鍵は要注意。,退店されたら、まずその席をチェックする。これをオペレーションのルールにするだけ。もしあれば、すぐ追いかけるんです。,「うわ、助かった！ありがとう！」って言われた時の、お客様のホッとした顔。それが最高のサービスちゃいますか。,気まずい電話をなくして、最高の思い出で締めくくる。お見送り後の10秒が、お店の評価を決めます。,なぜ新入社員のエンゲージメントが3年で低下するのか;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;財務三表の説明;エリアリサーチ　主導線と副動線;試食の仕方　ワンポーション食わんかい
14,アルバイトの有給付与,アルバイトの有給、まさかスルーしてません？それ、法律違反で一発アウトですわ。,いやいや、ウチみたいな小さい店で有給なんて…って、正直思ってません？,「今まで誰も言うてこんかったし」「時給に含んでるつもりやし」…,その考え、めっちゃ危ないです。,ある日突然、辞めたスタッフから請求されて、罰金払うことになったら目も当てられへんで。,ほんまはちゃんとせなあかんって分かってるけど、何から手つけたらええか分からん…ってなってません？,分かりますよ。日々の営業で手一杯で、細かい書類のことまで頭回らん時ありますよね。,人件費カツカツやのに、これ以上払われへん…っていうのが本音ちゃいます？,その気持ち、痛いほど分かります。でも、知らんかったでは済まされへんのが雇い主の責任なんですわ。,今日は、ややこしい有給付与のルールを、誰でも分かるようにサクッと解説します。,ルールを守ってスタッフに信頼される店と、知らんぷりしていつか痛い目見る店。どっちがええですか？,有給って、スタッフへの“おつかれさまボーナス”みたいなもん。ちゃんと渡さんと、お店の信用ガタ落ちですわ。,結論、アルバイトにも有給は絶対に付与せなあきません。,条件はシンプル。半年以上続けて働いてて、全シフトの8割以上出勤してたら、もう対象です。,まずは全スタッフの勤怠記録を見直してみてください。分からんかったら、絶対に社労士さんに相談です。,面倒やけど、ここをちゃんと整備したら、スタッフも安心して長く働いてくれる、ええお店になりますよ。,「アルバイトに有給なんて」はもう通用しません。今すぐ自店のルール、見直してくださいね。,ぶっちゃけ飲食店の成功は立地で決まるかどうか;売上目標の決め方;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;物価高の今やるべきこと;無意識のクセが命取り（所作は人格、ふるまいはブランド）
15,監視カメラでお店見ずに現場に来い,監視カメラでお店見てる経営者、今すぐやめてください。,「いやいや、店の状況が気になるだけやん」って思いますよね。,スマホでチラッと様子見て、気になったとこだけLINEで指摘する。つい、やってませんか？,それ、信頼関係を壊す一番の近道です。,カメラ越しの指示ばっかりやと、現場はどんどん窮屈になって、優秀なスタッフから辞めていきますよ。,ほんまは現場のスタッフと顔を合わせるのが、ちょっと気まずいって思ってません？,もちろん忙しいのは分かります。全部の店舗を毎日回るなんて無理やって思いますよね。,でもそれって、現場の「空気」から目を背けてるだけかもしれへんのです。,気持ちは分かるけど、画面越しの正論ほど、人の心を離すものはないですよ。,このあと、カメラを消して現場に行くことで得られる、ほんまの価値について話します。,監視カメラは「監視ツール」やないんです。「防犯ツール」なんです。,料理の味見を写真だけでするシェフ、おらんでしょ？お店の空気も同じ。現場でしか分からんことがあるんです。,結局、人と人との信頼は、面と向かったコミュニケーションでしか作られへんのです。,遠隔で見た情報だけでスタッフを叱責するなんて、上に立つ人間として失格ですわ。,まずは週に1回でもええ。目的なく現場に行って、スタッフと雑談することから始めてみてください。,最初は気まずいかもしれへん。でも、その一歩がチームを変えるきっかけになるんです。,マネジメントは面倒くさいです。でも、その『手間』こそが、今の時代ほんまの価値になるんやないでしょうか。,SNSなんて正直めんどい　でも伝える努力をやめへん理由;意思決定と合意形成;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;一見客で回す飲食はいつか潰れる;開業してから考えるな　今いるお客さんの視点から逆算しろ
16,冷蔵庫のルール付け（住所決め）,冷蔵庫がぐちゃぐちゃな店、利益ダダ漏れしてますよ！,「あれどこやったっけ？」って営業中に探すあの時間、ほんま無駄やと思わへん？,とりあえず空いてるスペースに食材詰め込んで、「後で片付けよ」って思ってへん？,その「後で」は一生来ませんからね？,食材探す数秒のロスが積み重なって、お客様を待たせて、結局廃棄も増えて…利益ぜんぶ溶かしてますよ。,「うちのスタッフ、なんでちゃんとできひんのやろ」って、心のどこかで人のせいにしてません？,忙しい中で冷蔵庫の整理まで手が回らん気持ち、めっちゃわかります。,でも本音では、食材ロス見るたびに「またやってもうた…」って自己嫌悪に陥ってません？,そのままでええなら止めへんけど、それって仕組みがないから散らかるだけなんです。,今日は誰でもできる、冷蔵庫に『住所』を決めるだけで、探す時間ゼロ、廃棄ロスも激減する方法を教えます。,ぐちゃぐちゃの冷蔵庫は毎日が『宝探し』。整った冷蔵庫は『仕組み』で動いてるんです。,冷蔵庫ってお店の頭の中と一緒。ごちゃごちゃやと良いアイデアもスムーズな調理も生まれません。,答えはシンプル。全ての食材に『住所』を決めてあげるだけです。,肉はここ、野菜はここ、ソース類はここってエリア分けして、使用頻度が高いものは手前に置く。たったこれだけ。,まずは全部出して掃除。次にガムテープとペンで棚に『〇〇の場所』って書く。これで新人さんでも一発でわかります。,営業中に食材を探すあのストレスから解放されるだけで、もっと大事なことに集中できると思いませんか？,住所がないから適当に入れてしまうんです。営業中に探すあの数秒が命取り。今すぐ冷蔵庫に住所、決めていきましょう。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;最強の戦略は凡事徹底;ネット情報の統一化;ロードサイド型店舗の生き残り戦略;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方
17,ランチは道を挟むと商圏外,ランチ営業、道を挟んだだけで“商圏外”になるって知ってました？,目の前にオフィスビルあるのに、なんでうちに来てくれへんのやろ…って思ってませんか？,大通りに面してるから、どっち側からでもお客さん来るやろって安易に考えてた。,それ、ランチ客の心理を全然わかってへんのです。,気づいたら向かいのビルにできた競合店だけが行列。うちはずっと閑古鳥が鳴いてる…なんてことになりますよ。,「うちの味はええはずやのに…」って、実は立地のせいやって気づいてへんのちゃいますか？,一生懸命ランチメニュー考えてるのに、報われへんの、ほんましんどいですよね。わかります。,「立地選び、ミスったんかな…」って、誰にも言えへん不安、抱えてるんちゃいますか。,気持ちはわかるけど、お客さんの“無意識の壁”を理解せんと、一生そのままですよ。,なんでランチ客が信号を渡りたがらないのか、その超シンプルな理由を今から説明しますわ。,信号を渡る店と、渡らんでええ店。お客さんにとっては、月まで行くんか、コンビニ行くんかくらいの違いがあるんです。,ビジネスマンのランチ休憩って、だいたい1時間。その中で信号待ちの1分は、めちゃくちゃ貴重な時間なんですわ。,結論、ランチ客は“信号を渡る”という無駄な時間を1秒でも削りたいんです。,理由はシンプル。「めんどくさい」「時間がもったいない」「わざわざ渡る価値ある？」って思われてるんです。,これから出店するなら、ターゲットのオフィスがある側を絶対選ぶこと。もう店があるなら、向こう岸は商圏にカウントせんと戦いましょう。,悔しいけど、これが現実なんです。でも、これを知ってるだけで戦い方は全然変わります。,ビジネス街のランチは、一本の道路が国境になる。この事実、忘れないようにしてください。,なぜこの店は夢を語ってるだけで予約が埋まるのか？;地域密着型店舗の落とし穴;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;PLは％で見れるように;歩留計算の仕方
18,AI生成画像を使ってる飲食店は集客止まります→Googleの画像投稿は実際の体験に基づいてることが求められる,AI生成画像を使ってる飲食店、もう集客止まります。,「AIって便利やし、綺麗な写真すぐ作れるからええやん」って思ってません？,メニュー写真とかSNSの投稿とか、安易にAIに頼ってしまってません？,それ、一番やったらあかんやつです。,「写真と全然ちゃうやん」って悪い口コミ書かれて、一瞬でお店の信用なくしますよ。,「でも写真撮るの下手やし、プロに頼むお金もないし…」って、頭抱えてますよね。,綺麗な写真で、お店の魅力をちゃんと伝えたい。その気持ち、痛いほどわかります。,本当は、もっと美味しそうに見せて、お客さんに喜んでほしいだけなんですよね。,でもその想い、AIが作った“嘘の絵”では絶対に伝わらへんのです。,このリールで、お金をかけずにお客さんの心を掴む『リアルな写真』の重要性を説明します。,AIが作った完璧すぎる写真より、ちょっと湯気が写ってるぐらいの“シズル感”ある写真の方が、絶対にお腹すくでしょ？,例えば、パスタの写真。AIが作った綺麗な麺線より、チーズがとろけてるリアルな写真の方が、絶対食べたいって思いません？,結論、Googleの画像投稿は『実際の体験』がすべて。ありのままを見せることが唯一の正解です。,具体的には、調理中のライブ感、スタッフの笑顔、そしてお客さんが楽しんでる雰囲気。この3つを撮るんです。,スマホで十分。まずは今日の賄いから撮ってみてください。それが一番の練習になります。,あなたの料理に込めた想いや、お店の温かい空気感は、AIには絶対再現できひんのですから。,人が介在するべき仕事とAIがこなす仕事、これを機にちゃんと分けて考えてみてください。,現場のスタッフ全員で生産者に会いに行け;地域密着型店舗の落とし穴;Google口コミ＝QSC＋店舗内研修;ECサイト伸ばしたいなら、お客様がどんな時に食べるか想像して;閉業率が高く絶対に選ばない3つの業態
19,モノ消費、コト消費、ヒト消費＝今の時代の飲食店オーナーは顔出しして発信しましょう,SNSで料理の写真ばっかりあげてるお店、もうお客さん来なくなりますよ。,「え、なんで？美味しそうな写真あげたらあかんの？」って思いますよね。,毎日シズル感ある写真撮って、ハッシュタグも考えて…めっちゃ頑張ってるのに。,残念ながら、それだけじゃもう選ばれへんのです。,結局「なんか似たような店」って思われて、記憶に残らんまま忘れられていきますよ。,「うちのこだわり、分かってくれる人だけ来てくれたらええ」って、心のどこかで思ってません？,ほんまは、もっとお店のこと、自分の想いを知ってほしいんですよね。,でも、顔出すの恥ずかしいし、何喋ったらええか分からん…ってなってませんか？,その気持ち、めっちゃ分かります。でも、時代はもう変わってしもたんです。,今から、なんで顔出しせなあかんのか、消費の時代の流れから具体的にお伝えしますね。,昔は「モノ」、次は「コト」、そして今は「ヒト」で選ばれる時代なんです。,うまい・安い・量が多い「モノ消費」から、雰囲気・体験の「コト消費」に変わってきました。,そして今は「誰がやってるお店か」で選ばれる「ヒト消費」の時代なんです。,お客様は、料理だけじゃなく、あなたの想いや人柄に会いに来るんですよ。,まずは週一回でもええから、仕込みの様子とか、今日の想いを自分の言葉で語ってみてください。,あなたの想いがこもった料理、あなたの言葉で伝えたらもっと美味しく感じてもらえるはずです。,今の時代、無名な店より「顔が見えへん店主」のほうがよっぽど危険です。明日から、あなたの顔で発信しましょ。,人が辞めないチームの作り方　給与より信じたくなる空気があるか;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;ゾーニング;お客様の怒りや渇望→マーケ;物件選びはなんかええな、じゃなくてロジックで選ばなあかん
20,OJTとOff-JT,実は繁盛店ほど「現場で覚えろ」なんて絶対言いません。,「忙しいから見て覚えといて！」って、新人を放置してしまってません？,マニュアルも渡さんと、いきなりホールに出して、あとは先輩任せ。,それ、教育ちゃいます。ただの丸投げですわ。,このままやと、新人はすぐ辞めて、残ったスタッフは疲弊。店の雰囲気も最悪になります。,ほんまはちゃんと教えたいけど、正直どこから手つけたらええか分からん…ってなってません？,分かりますよ。日々の営業に追われて、教育まで手が回らんその気持ち。,でも心のどこかで「これじゃアカン」って、ずっとモヤモヤしてますよね。,その気持ち、大事です。でもやり方を変えへんと、人は一生育ちません。,今日は、新人が最速で戦力になる、繁盛店だけがやってる『研修の順番』を教えます。,いきなり現場で教える店と、その前に“あること”をやる店。定着率が全然違います。,レシピも渡さんと「美味しい料理作って」って言うてるようなもん。まず渡すべきは店の『設計図』です。,答えは一つ。現場研修（OJT）の前に、必ず座学研修（Off-JT）の時間を設けることです。,そこで教えるのは技術やない。店の理念、メニューの物語、大事にしてる想い。この3つです。,まず膝を突き合わせて、なんでこの店があるんかを伝える。それだけで新人の動き方が変わります。,「ここで働きたい」って心から思ってもらうことが、何よりの研修なんです。,知識なしで現場に出すから吸収でけへんのです。「現場で覚えろ」は今日で終わりにしましょ。,お客様の怒りや渇望→マーケ;売上目標の決め方;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;予約ゼロ→満席に変えた価格の順番　値下げより設計が先;FL比率
21,商品価格の決め方,値上げできないお店には共通点があるんですが、知ってます？,「値上げしたいけど、お客さん離れたらどうしよ…」って、ずっと悩んでません？,周りの店の値段見たり、原価率から逆算して、なんとなく価格決めてません？,それ、一番やったらアカンやつです。,そのままだと、ただの価格競争に巻き込まれて、忙しいのに利益が残らん…って地獄が待ってますよ。,ほんまは「うちの料理、この値段以上の価値あるはずやのに…」って、心のどこかで思ってません？,分かりますよ。安さやなくて、ちゃんと価値で選んでほしいんですよね。,「この値段は高いわ」ってお客さんに思われるのが、怖くてたまらんのちゃいます？,僕も昔はそうでした。でも、その恐怖って、実は“伝え方”を知らんだけなんです。,このあと、お客さんが「この値段なら納得や」って思ってくれる価格の伝え方、全部話します。,「安いから行く店」と「ここやから行く店」。値上げで試されるのは、どっちの店かです。,理由が書いてない値段って、中身が分からんプレゼントの箱に値段だけ貼ってあるようなもん。誰も価値を感じられへんのです。,結論、値上げがうまくいくかどうかは、「値上げする理由」がお客様に伝わってるかどうか、それだけです。,例えば、①食材のこだわり、②仕込みにかかる手間、③他にはない調理法。このうちのどれかを語れますか？,まずは自店の看板商品を1つ選んで、「なんでこの価格なのか」をスラスラ答えられるように、紙に書き出してみてください。,「高い」って言われる恐怖が、「この価値なら安い」って言われる自信に変わる瞬間が、絶対に来ますから。,原価や相場から決めるのはもう卒業。価格は“価値を説明する”ための道具なんです。,POSレジの紹介;予約ゼロ→満席に変えた価格の順番　値下げより設計が先;ABC分析;チェーン店に勝つ方法;お客様の怒りや渇望→マーケ
22,流行りを追うことによるデメリット,トレンドに敏感なお店ほど、実はブランドが育ってないんですよ。,SNSでバズってるあれ見て、「うちもやらな」って焦ってません？,流行りのスイーツやドリンク、次から次へとメニューに入れてません？,それ、自分のお店のファンを失う一番の近道です。,このままやと、次の流行りが来た瞬間に忘れられて、常連さんも離れていく「何屋さんか分からん店」になりますよ。,「流行りに乗らんと時代遅れになる」って、内心ビビってません？,分かります、話題になるのは嬉しいし、新しいお客さんが来るのも楽しいですもんね。,でも心の奥では、「うちの店の強みって何やろ…」って不安になってません？,僕も流行りに乗っかって一瞬だけ売上上がりました。でも、残ったのは空っぽのブランドだけでした。,今日は、流行りに頼らんでもお客さんがずっと通いたくなるお店の「本当の強み」の見つけ方、お伝えします。,流行りが去ったら誰も来なくなる店と、流行りが去っても常連さんが支えてくれる店。どっちになりたいですか？,流行りのメニューはトッピングみたいなもん。土台のパスタが美味しくなかったら、誰もリピートせえへんでしょ？,問題は流行りに乗ることやないんです。流行り「しか」ないことが問題なんです。,あなたのお店の「これだけは負けへん」っていう看板商品、お店の独特の世界観、常連さんが通ってくれる理由。この3つをまず言葉にしてください。,流行りのメニューを一つ減らして、その分、看板商品を磨く時間とコストをかけてみてください。それだけで変わります。,流行りを追いかけるの、もうやめましょ。あなたのお店には、もっと伝えるべき魅力があるはずです。,やっぱり僕らは飲食店。料理と接客、この当たり前を磨き続けるお店が一番強いんですよ。,FL比率;なぜこの店は夢を語ってるだけで予約が埋まるのか？;現場のスタッフ全員で生産者に会いに行け;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;POSレジの紹介
23,マーケティングは集客しなくても来る仕組みを作ること,飲食店の集客、お客さんが来なくなってから悩んでるようじゃ、もう遅いんです。,「なんで急にお客さん減ったんやろ…」って、空っぽの客席見て焦ってません？,慌ててSNS投稿増やしたり、割引クーポン配ったり…ついやりがちですよね。,それ、集客やなくてただの穴埋め作業ですわ。,このままやと、安売り合戦に巻き込まれて、利益も心もすり減っていくだけですよ。,「とにかく知ってもらわな始まらん」って、必死に声張り上げてる感じちゃいます？,分かりますよ。店が暇になる恐怖って、ほんまに心臓に悪いですからね。,ほんまは、こっちから追いかけんでも「あそこ行きたい」って思われる店になりたいんですよね？,お客さんを“集める”のに疲れたら、そろそろ“集まる”仕組みに切り替えなあきません。,今日は、必死に集客せんでもお客さんが自然と来てくれる「マーケティングの本当の意味」を話します。,「集客」は魚を追いかけること。「マーケティング」は魚が勝手に集まる最高の漁場を作ることなんです。,どんなに美味しい料理作っても、砂漠のど真ん中じゃ誰も来えへん。場所選びがマーケティングの9割ですわ。,ええですか。マーケティングとは、集客しなくてもお客様が来る仕組みを作ることです。,大事なんは3つ。誰が、いつ、何のためにその道を通るか。その人流を読むことです。,物件見る時、ただ人通り見るんやなくて、平日と休日、昼と夜で歩いてる人の顔と目的を観察してみてください。,「探してたのはこんな店や！」って、お客さんの方から見つけてくれる瞬間、最高に嬉しいもんですよ。,結論、物件探しは妥協せんこと。あなたのお店を求める人がそこにいるか、しっかり見極めましょう。,人が辞めないチームの作り方　給与より信じたくなる空気があるか;チェーン店に勝つ方法;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;エリアリサーチ　主導線と副動線
24,パンを止めるやつ、コンビニのケチャップのやつ→コレとかコレの名前わかります？ 大体お客様のお店の名前に対する解像度これくらいです,これ、名前わかります？お客様のお店の名前に対する解像度って、大体これくらいなんです。,うちの店の名前、ちゃんと覚えてもらえてるんかな…って、ふと不安になることないですか？,想いを込めて、オシャレで、ちょっと難しい横文字の名前とか、つけてません？,それ、もしかしたら自己満になってるかもしれませんよ。,このままやと『あの角の美味しい店』で終わり。検索もされず、誰にも思い出してもらえなくなります。,「でも、名前には店のコンセプトが大事やし…」って、こだわりを捨てきれずにいませんか？,せっかく考え抜いた名前やから、大事にしたいその気持ち、めっちゃわかります。,ほんまは、名前で覚えてもらって、「〇〇行こう！」って指名で来てもらえる店になりたいんですよね？,その想いは素敵です。でも、お客様に届かんかったら、ただの飾りなんです。,今日は、お客様の記憶にガツンと残る店名のつけ方、そのコツを具体的にお伝えしますね。,「なんかオシャレな店」で終わるか、「〇〇に行こう！」って名前で呼ばれるか。この差は天と地ほどあります。,店名って、いわば店の顔であり名刺そのもの。そもそも読まれへん名刺、渡してしまってませんか？,結論、お客様に愛される店名は『覚えやすさ』と『読みやすさ』が全てです。,ポイントは3つ。「口に出して言いやすいか」「スマホで一発変換できるか」「何屋さんかすぐわかるか」。,今すぐ、自分の店の名前を声に出して10回言ってみてください。友達にLINEで送ってみてください。つっかえたり、変換で手間取ったりしません？,ちょっとダサいかな？くらいが、実は一番お客様に覚えてもらえて、愛されたりするんですよ。,オープン前の想いも大事ですけど、お客様に届くキャッチーさも、同じくらい大事にしながら名前をつけましょう。,売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など;FL比率;地域密着型店舗の落とし穴;メニュー開発は固定概念に囚われてはいけない（リフレーミング）;加工品を賢く取り入れる
25,1on1で過去の店舗の話をわざわざしなくていい 過去の指摘や卑下してもいいことない,スタッフを叱る時、わざわざ昔の店の話するの、マジで意味ないですよ。,「俺が昔いた店では…」って、つい言いたくなる気持ち、めっちゃわかります。,でもそれって結局、「今の君は、昔のあの人より劣ってる」って言ってるのと同じなんです。,それ、指導ちゃいます。ただの昔話です。,このままやと、スタッフは「じゃあその店戻れば？」って心を閉ざして、信頼関係ゼロになりますよ。,「なんで今の若い子は…」って、相手のせいにして思考停止してませんか？,昔の成功体験があるからこそ、今のやり方にイライラするんですよね。,ほんまは店を良くしたい、成長してほしいって気持ちだけのはずやのに。,その気持ちは大事です。でも、伝え方を変えへんと、誰もついてこなくなります。,今日は、過去の栄光に頼らんと、今いるスタッフの未来を育てる伝え方を話します。,過去の話をする上司は部下のやる気を奪い、未来の話をする上司は部下の可能性を引き出します。,料理と一緒で、昔のレシピを押し付けるんやなく、今の食材で最高の味を作るのがプロですよね。,結論、誰かを攻撃したり、他人と比較して卑下する人に、ええスタッフはついてきません。,ポイントはたった一つ。「過去」や「他人」と比べず、「今のその子の行動」だけを見ることです。,まず「〇〇ができてなかったね」と事実だけを伝える。次に「どうすれば次はできるか」を一緒に考える。これだけです。,叱る目的って、相手をへこますことやなくて、成長させることやったはずですやん。,人格や過去は否定せず、事実だけを指摘する。それがほんまのマネジメントです。,飲食経営に感情は要るのか？やりがいだけでは勝てない時代;地域密着型店舗の落とし穴;歩留計算の仕方;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？
26,褒めると労うの違いが分からんとマネジメントできませんよ マネジャーは部下に仕事を託してるだけ→褒めるではなくありがとうでいい,まさか「褒める」と「労う」の違いが分からんと、マネジャーやってないですよね？それ、部下のやる気ぜんぶ潰してますよ。,「なんでうちのスタッフは指示待ちばっかりなんやろ…」って、頭抱えてません？,とりあえず何かやってくれたら「すごいな！」「さすがやな！」って、過剰に褒めてご機嫌とってません？,それ、実は一番やったらあかんやつです。,そのうち「褒めてくれへんと動かへん」スタッフだらけになって、店長がおらんと何も決まらん店になりますよ。,「部下のモチベーション管理も仕事やし…」って、ちょっと気を遣いすぎてるんちゃいます？,良かれと思ってやってるのに、なんか手応えがない感じ…僕も経験あるからめっちゃ分かります。,ほんまは「もっと自分で考えて動いてほしい」って、心の底で思ってますよね。,その優しい声かけが、逆にスタッフを甘やかして、成長の機会を奪ってるかもしれへんのです。,この投稿では、「褒める」と「労う」を使い分けるだけで、チームが劇的に変わる話をしますわ。,「褒める」は期待を超えた時だけ。「労う」は日々の業務への感謝。この２つ、全くの別もんです。,例えば、毎日の掃除に対して「君は掃除の天才や！」とは言わんでしょ？「いつも綺麗にしてくれてありがとう」で十分なんです。,マネジャーは部下に仕事を託してるだけ。業務をこなすのは当たり前。やから基本は「ありがとう」でええんです。,褒めるのは、ほんまに期待を超えた時だけ。例えば、常連さんの好みを覚えて特別な提案ができた時とかね。,明日からスタッフへの声かけを「労い」と「感謝」を基本にしてみてください。褒め言葉の安売りは今日で終わりです。,部下にお伺いを立てる関係じゃなくて、信頼して任せる関係のほうが、店長も楽でしょ？,お伺いを立てる関わりは、怠惰な環境の始まりですよ。まずはシンプルに「ありがとう」から始めてみましょ。,誕生日よりも水曜日を狙え;ゾーニング;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;なぜこの店は夢を語ってるだけで予約が埋まるのか？;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など
