No,タイトル,フック,解決策,エンド,処理済み,_シート,_動画番号
11,お店の開業→イニシャルコストは借入、ランニングコストは貯金,自己資金で開業するのだけは絶対やめてください,初期投資を抑え、家賃・人件費・仕入・生活費・予備費の6カ月分の運転資金を残してスタートをし、残った額が初期投資の上限です,飲食店開業で一年目の廃業率が高いのは現金を残さない開業が原因です,,727-8/7,11
12,BGMの大きさ＝お店のガヤガヤさ,まさかまだBGMの音量のルール知らないんですか？,"BGMの音量に比例してお客様の声の大きさは変わります
ガヤガヤ系なのか静かなお店なのかは音量で調整できるんです",あなたのお店のBGMの音量とお店の雰囲気は釣り合ってますか？,,727-8/7,12
13,退店したらすぐに方付け→忘れ物のチェック,お客様のお見送りの後、一番最初にする仕事なにかわかりますか？,退店されたら真っ先にそのお客様が座ってた卓の片付けをして忘れ物がないかチェックしてください,後日お客様に取りに来てもらって気まずい思いをさせずに、心地よいサービスで締めくくりましょう,,8/8-8/19,1
14,アルバイトの有給付与,アルバイトの有給付与ちゃんとしてますか？,雇用してから6ヶ月間継続して勤務していて全労働日の8割以上出勤していれば有給休暇が付与されます,"「いやいや、アルバイトに有給なんて」っては通用しません
その他細かいルールを今一度見直し、社労士さんにしっかり相談してみましょう",,8/8-8/19,2
15,監視カメラでお店見ずに現場に来い,監視カメラでお店見ずに現場に来い,"結局人は面と向かったコミュニケーションでしか醸成されない信頼があります
それを遠隔で見たからと叱責してるようじゃ上に立つ人間として失格です","マネジメントは面倒くさくて周りくどいです
その「手間」が今の時代は価値になるんじゃないでしょうか？",,8/8-8/19,3
16,冷蔵庫のルール付け（住所決め）,冷蔵庫内ぐちゃぐちゃ人間、遭遇したことありますよね,冷蔵・冷凍庫内に住所を決めてあげて、なんならガムテープとかでしっかり見える化しましょう,"住所がないから適当に入れてしまうんです
でも営業中に食材探すあの数秒が命取りになりますのでしっかり住所を決めていきましょう",,8/8-8/19,4
17,ランチは道を挟むと商圏外,ランチは道を挟むと商圏外って知ってましたか？,短いビジネスランチの時間で信号をわざわざ待って横断歩道渡るのを無意識に避けてしまうんです,"もしビジネス街でお店を出すのであればどこの道に出すかで売上が大幅に変わります
大きな交差点がある場合は向こう岸は商圏にカウントせずに戦いましょう",,8/8-8/19,5
18,AI生成画像を使ってる飲食店は集客止まります→Googleの画像投稿は実際の体験に基づいてることが求められる,AI生成画像を使ってる飲食店は集客止まります,Googleの画像投稿は実際の体験に基づいてることが求められます,人が介在するべき仕事とAIがこなす仕事を明確に分けて使わないといけませんね,,8/8-8/19,6
19,モノ消費、コト消費、ヒト消費＝今の時代の飲食店オーナーは顔出しして発信しましょう,SNSで料理の写真ばっかりあげてる店舗は集客に失敗します,"昔はうまい・安い・量が多いというモノ消費
次に雰囲気・体験・映える空間というコト消費
今は誰がやっているお店なのかで選ばれるヒト消費の時代です","今の時代、無名店舗より無名店主の方が危険です
明日からSNSで顔出し発信していきましょう",,8/8-8/19,7
20,OJTとOff-JT,実は繁盛店ほど現場研修をしてません,現場研修の前には必ず現場から離れて行う座学研修をしています,"知識を入れずに現場へ出すから、インプット量がびっくりするくらい減ります
「現場で覚えろ」ではなく膝を突き合わせて哲学や大事にしている想いも共有しましょう",,8/8-8/19,8
21,商品価格の決め方,値上げできないお店には共通点があるんですが、知ってます？,結論、値上げをする理由がお客様に伝わっていないからです,"原価から売価を決めていたり、相場から決めると陥りがちな落とし穴です
自店の看板商品を1つ選んで「なんでこの価格なのか」を答えられるようにしてください",,8/8-8/19,9
22,流行りを追うことによるデメリット,トレンドに敏感なお店ほど、ブランドが育ちませんよ,"問題は流行りに乗ることではなく流行りしかないことです
お店の強み、独自の世界観、看板商品、常連様が通う理由がなければがなければ次の流行りが来た瞬間に忘れられるだけです",やっぱり僕らは飲食店です、料理と接客の当たり前のところを押さえておかないと何もかも上手く行きませんよ,,8/8-8/19,10
23,マーケティングは集客しなくても来る仕組みを作ること,飲食店の集客でお客さんが来なくなってから悩んでるようじゃダメです,マーケティングとは集客しなくてもお客様が来る仕組みを作ることです,結論物件探しは妥協せず、人流や動いてる時間、あなたが提供する物を求める人がいるかなどしっかり見極めましょう,,8/8-8/19,11
24,パンを止めるやつ、コンビニのケチャップのやつ→コレとかコレの名前わかります？ 大体お客様のお店の名前に対する解像度これくらいです,"コレとかコレの名前わかります？
大体お客様のお店の名前に対する解像度これくらいです",覚えやすい情報や読みやすい名前にしないと一生覚えてもらえないお店になりますよ,確かにオープン前はかっこいい名前や想いを詰め込みたくなりますが、キャッチーさも意識しながら名前をつけましょう,,8/8-8/19,12
25,1on1で過去の店舗の話をわざわざしなくていい 過去の指摘や卑下してもいいことない,叱責で過去の店舗の話をわざわざし卑下しなくていいじゃないですか,誰かを攻撃している人にスタッフは付いては来ないですよ,事実確認した上でその人の過去や人格は否定せず間違いだけを指摘することは本当のマネジメントです,,8/20-8/31,1
26,褒めると労うの違いが分からんとマネジメントできませんよ マネジャーは部下に仕事を託してるだけ→褒めるではなくありがとうでいい,まさか褒めると労うの違いが分からんとマネジャーになってないですよね？,マネジャーは部下に仕事を託してるだけであって、その業務をこなすのは当たり前です,もし仮に成長の意味を込めて仕事を渡すのであればできた時に褒めることはいいことですが、お伺い立てる関わりは怠惰な環境の始まりですよ,,8/20-8/31,2
27,報連相は部下からだけでなく上司からも,部下に報連相をさせといて、もちろんあなたは部下にしてますよね？,報連相は一方的なコミュニケーションではなくあくまでキャッチボールです,"上司が今何をしていて、部下に何をして欲しいなんかは誰も知らないんです
上司から意見しやすい環境を作ることが報連相の第一歩です",,8/20-8/31,3
28,クレカの加盟店規約,この間「ランチの時間はカード使えません」って断られたんですが、これ完全に違反ですよ,時間帯や金額で利用制限をしたり手数料を上乗せしたりするのは加盟店規約違反です,"手数料が痛いのは重々承知ですが、ルールを否定しても仕方ありません
そこは正々堂々ちゃんと事業としてルールは守りましょう",,8/20-8/31,4
